id,first_name,last_name,matches,goals,wins,age
1,Eddy,Trippett,67,388,132,29
2,Margret,Griffitts,137,482,59,37
3,Megen,Escala,86,996,159,3
4,Marquita,Batiste,11,606,135,15
5,Mariel,Brazier,77,220,22,22
6,Ruby,Cyster,110,863,154,26
7,Beverlie,O'Neary,13,662,151,1
8,Emelita,Aloigi,117,201,198,25
9,Myranda,Fenney,11,348,1,35
10,Gabe,Pashby,130,160,107,33
11,Merl,Tommasi,44,395,102,36
12,Hieronymus,Bohlje,176,476,130,40
13,Far,Peat,157,255,105,20
14,Minda,Rosingdall,135,210,190,13
15,Phyllis,Scarrott,26,722,101,10
16,Aylmar,Lauritzen,161,533,112,17
17,Mil,Convery,66,479,29,13
18,Bink,Cumberland,5,702,136,34
19,Denys,Larsen,132,75,75,20
20,Elvis,Janjic,59,600,176,8
21,Marje,Sinney,155,233,106,37
22,Kimmi,Bodycombe,200,16,33,10
23,Carmelia,Cuniffe,130,424,107,5
24,Alvinia,De Cruz,177,813,131,25
25,Cinderella,Weekland,124,712,75,28
26,Jill,Croci,42,930,145,31
27,Sharlene,Midlane,104,360,14,8
28,Angeli,Blonden,196,21,94,7
29,Dael,Flewin,34,748,76,13
30,Dolph,Exell,185,269,29,11
31,Saul,Yexley,109,137,106,13
32,Gisella,Ambroz,150,793,126,39
33,Prescott,Wanek,4,13,66,2
34,Isaac,Roget,111,244,173,20
35,Constantia,Berzin,165,702,163,1
36,Cherish,Sertin,146,253,95,13
37,Anastasie,Emnoney,136,316,179,1
38,Frasco,Gregoratti,96,925,91,9
39,Rosita,Eaden,172,902,11,39
40,Stevana,Ballendine,93,459,166,38
41,Daniella,Caville,176,248,16,19
42,Oralee,Grasser,20,604,40,9
43,Frannie,Dossettor,145,334,88,17
44,Fay,Durnford,44,384,97,25
45,Mignonne,Birtwistle,12,958,191,37
46,Marion,Calderon,45,480,69,2
47,Reiko,Salvador,26,95,194,39
48,Marvin,Alvey,197,924,126,40
49,Birgitta,Syer,119,658,34,14
50,Drake,Raithby,198,735,18,25
51,Dione,Kahn,189,107,89,11
52,Doris,Conre,32,301,34,1
53,Kara,Denkel,3,722,94,21
54,Alphard,Simpkins,127,850,197,6
55,Tomkin,Hachard,194,81,71,24
56,Valentino,Elie,182,13,105,23
57,Kelley,Syder,99,114,107,38
58,Julianna,Trillow,72,110,86,18
59,Sterne,Yanukhin,164,490,167,8
60,Carola,Chippendale,6,459,37,15
61,Ingaborg,Strangeway,11,123,159,14
62,Bordy,McDougald,196,124,82,18
63,Uri,Standeven,120,484,88,16
64,Adrienne,Corteis,99,556,140,17
65,Park,Thorius,100,205,11,21
66,Banky,McKeller,90,325,58,32
67,Angelle,Wrankmore,30,178,35,5
68,Jaquenetta,Avory,170,118,168,33
69,Jean,Boanas,15,30,79,16
70,Bay,Romei,138,227,58,22
71,Pearla,Raselles,186,64,32,24
72,Sal,Crowson,166,137,164,32
73,Hagan,Drohan,148,82,96,11
74,Roxine,Rake,139,617,41,27
75,Ross,Robbert,19,85,49,40
76,Baxter,Tromans,163,824,106,4
77,Les,McLleese,72,618,154,34
78,Babbette,Cod,80,635,165,3
79,Josy,Boothe,198,408,159,40
80,Minne,Dalgleish,2,243,99,34
81,Sybilla,Pickett,60,412,66,26
82,Saloma,Wisher,101,537,35,14
83,Porter,Rudge,7,153,12,2
84,Roshelle,Morican,7,70,180,8
85,Davina,Cudby,144,755,38,38
86,Jeffrey,Hackey,185,788,113,34
87,Gardner,Strangman,21,111,82,15
88,Ev,Lemmen,96,847,190,20
89,Hally,McSweeney,198,572,1,24
90,Ceciley,Dellow,166,577,149,16
91,Langsdon,Redfearn,74,448,11,39
92,Reggie,Chant,126,294,21,14
93,Sybyl,Correa,157,129,106,29
94,Arvy,Gambell,63,777,105,31
95,Ronnie,Abethell,53,83,158,27
96,Maddie,Lukes,77,667,44,23
