id;first_name;last_name;matches;goals;wins;age
54;Mic;Thelwll;72;98;68;5
40;Fraser;Probat;59;32;91;41
76;Roley;Ciobotaru;33;14;74;45
71;Malorie;Spaven;42;64;49;61
71;Alleyn;Kimbrey;46;99;94;2
33;Merla;Bagott;43;42;18;64
57;Sofia;Cauley;9;39;73;33
62;Pattin;Hardiker;50;3;30;10
42;Teddie;Franklen;75;72;99;26
34;Carita;Smallshaw;7;84;21;97
94;Marv;Friberg;11;39;69;69
96;Lisha;Breewood;36;8;14;87
93;Carmina;Bail;24;87;70;38
33;Corbin;Galpin;1;48;4;47
34;Lindsey;Krolik;56;92;37;13
23;Keefe;Langhorn;77;78;73;72
28;Dodie;Leetham;45;100;82;34
100;Hedwig;Dungay;54;97;55;60
25;Gerty;Garza;74;62;74;12
45;Jania;Dosedale;27;59;91;37
14;Jilleen;Galero;12;43;27;50
30;Inger;Crenshaw;77;99;38;65
87;Arron;Saffen;81;90;86;21
14;Odell;Pooke;22;10;24;10
74;Molly;Heintsch;3;25;81;31
99;Tara;Olden;86;18;68;63
75;Chere;Aggs;34;80;97;47
21;Donnamarie;Wahncke;94;20;98;42
87;Jan;Adnett;79;56;23;3
25;Loria;MacGown;47;3;2;76
45;Barbee;Cuddehy;99;52;60;4
65;Harlen;Senten;38;94;70;88
100;Nicky;Farnham;59;79;92;96
6;Adolf;Rankling;83;89;21;92
52;Judi;Crittal;41;70;70;27
92;Cissiee;De Andreis;22;86;75;24
67;Suzette;Spenton;19;62;48;88
76;Haskel;Carnalan;80;77;30;91
83;Lela;Doghartie;8;47;49;6
46;Lorin;Di Biagi;89;12;82;69
54;Cullie;Olivey;98;42;71;60
13;Salaidh;Mahedy;45;28;13;41
61;Hubey;Livesley;36;100;96;16
78;Daryle;Lovel;22;42;1;64
100;Lancelot;Croyser;60;30;28;55
56;Hollis;Andresser;48;21;25;21
96;Cherey;Eydel;34;22;16;40
37;Currie;Acey;100;56;18;57
15;Sella;Stolz;48;90;76;73
31;Petrina;Dowers;37;96;70;53
68;Dulsea;Taudevin;16;37;9;17
39;Jaye;Delahunt;67;11;16;8
72;Regan;Cayette;85;4;71;42
68;Lorie;Whenman;25;59;88;99
11;Bartram;Mackiewicz;46;78;92;43
69;Emlyn;Canniffe;27;44;75;65
17;Stern;Larciere;47;69;17;17
66;Albina;Ortet;94;75;35;27
54;Carleton;Bulgen;19;10;83;56
64;Sasha;Culligan;18;33;61;20
39;Rutledge;Branche;76;7;73;68
90;Cyrille;Este;51;42;27;99
14;Sidney;Paolino;28;91;99;18
6;Gae;McTeggart;99;21;62;39
49;Yalonda;Bromehed;39;85;18;63
34;Mariya;Helstrom;68;93;82;29
40;Corrie;Vassbender;20;85;67;98
83;Flynn;Espada;70;9;71;22
60;Benedikt;Gordon;84;44;20;63
56;Claudianus;Worthing;1;69;76;36
21;Cass;Foreman;63;98;44;55
33;Odey;Beyn;19;81;51;41
56;Sophronia;Harsnipe;82;28;23;47
66;Markus;Turney;24;71;54;99
40;Shela;Fullegar;87;62;70;6
87;Harley;Rominov;29;35;24;73
53;Berni;Sprigg;16;87;58;22
18;Carmelita;Belcham;14;52;55;17
69;Susann;Medland;26;20;63;16
58;Katha;Rochester;10;87;50;19
96;Melicent;Slowgrove;22;68;51;18
40;Barbey;Burrill;53;32;25;63
65;Domenic;Firsby;63;30;64;41
71;Arlyne;Cheyenne;7;48;52;52
88;Annalise;Amery;83;9;18;85
11;Kerianne;Stoeckle;42;58;25;20
33;Claudianus;Sibbit;28;79;51;3
63;Cosme;Randal;46;17;12;61
48;Bel;Kornousek;81;60;64;83
73;Penelopa;Norgan;59;10;60;48
36;Brendan;Tuson;18;21;91;23
4;Damara;Leckey;10;62;16;66
90;Regan;Fawthrop;30;73;97;31
9;Nevins;Chaundy;21;75;40;59
71;Helene;Kurth;5;54;92;92
70;Annecorinne;Edgworth;9;26;91;80
94;Paola;Vines;87;69;74;79
89;Paxon;Mapes;25;57;3;99
15;Patty;Buie;47;49;78;35
1;Percy;Finnimore;70;54;25;90
58;Evelin;Wisker;14;89;59;38
92;Nananne;Nodin;28;27;36;75
96;Bruno;Cahalan;46;49;52;34
88;Darla;Sutty;73;61;44;92
85;Rice;Kenafaque;31;29;11;20
21;Tedmund;MacDwyer;64;10;32;55
14;Janean;Bortoluzzi;2;12;14;35
67;Iggie;Disbrow;42;76;23;43
35;Bronny;Blazey;71;6;95;90
2;Pearla;MacQuaker;7;27;37;79
64;Boycey;Fossett;35;7;40;64
27;Johnathon;Clayal;36;15;33;75
11;Barn;Veneur;75;5;31;97
97;Lianna;Kowalik;23;64;21;18
81;Rafaellle;Seckington;17;58;81;38
66;Stu;Iggalden;76;85;95;13
47;Zilvia;Jolin;86;99;41;98
52;Cassandra;L'Archer;79;57;66;31
5;Joleen;Grayling;26;28;39;40
17;Romy;Giovannoni;26;72;80;95
75;Mason;Gopsall;56;51;66;11
26;Banky;Richardt;18;22;79;60
19;Antoni;Thorby;28;19;28;53
85;Julietta;Gulliver;73;48;95;10
83;Moe;Deny;78;3;4;39
45;Gabey;Greguol;8;68;35;15
65;Andras;Sherborn;75;25;94;21
5;Ara;Spencer;31;50;7;64
100;Everett;De Ortega;65;32;92;30
82;Jeremie;Andrzejowski;67;50;77;83
68;Constantino;Beeke;78;82;56;73
25;Stormy;Tottie;94;62;18;100
24;Sol;Kitson;11;78;33;67
57;Jamie;Dally;99;85;34;37
18;Bran;Toe;38;97;12;82
49;Sam;Gurry;46;83;5;86
38;Montague;Durrant;60;70;14;55
56;Poppy;Tomankowski;48;17;38;64
